state,model,spin,dump_index,pos,n_runs,munit_min,munit_max,munit_dynamic_range,freq_label,freq_target_hz,freq_bin_center_hz,slope_dlnF_dlnM,r2,reliable,flux_definition
MAD,CRITBETA,-0.5,5000,0,2,2.0760059e+25,2.0986032e+25,1.010884988,86GHz,8.6e+10,7.842822061e+10,7.124636653,,0,Fnu_4pi_from_nuLnu_dOmega
MAD,CRITBETA,-0.5,5000,0,2,2.0760059e+25,2.0986032e+25,1.010884988,230GHz,2.3e+11,2.381685552e+11,-3.01011139,,0,Fnu_4pi_from_nuLnu_dOmega
MAD,CRITBETA,-0.5,5000,0,2,2.0760059e+25,2.0986032e+25,1.010884988,345GHz,3.45e+11,3.44896226e+11,2.771587155,,0,Fnu_4pi_from_nuLnu_dOmega
MAD,CRITBETA,-0.5,5000,0,2,2.0760059e+25,2.0986032e+25,1.010884988,band_1e+17_1e+19,,,5.454397232,,0,geom_mean_Fnu_4pi_in_highfreq_band
MAD,RBETA,0.94,6000,0,2,1.90879641e+25,3.047e+25,1.596293866,86GHz,8.6e+10,7.842822061e+10,1.969908179,,0,Fnu_4pi_from_nuLnu_dOmega
MAD,RBETA,0.94,6000,0,2,1.90879641e+25,3.047e+25,1.596293866,230GHz,2.3e+11,2.381685552e+11,2.07251433,,0,Fnu_4pi_from_nuLnu_dOmega
MAD,RBETA,0.94,6000,0,2,1.90879641e+25,3.047e+25,1.596293866,345GHz,3.45e+11,3.44896226e+11,2.14726871,,0,Fnu_4pi_from_nuLnu_dOmega
MAD,RBETA,0.94,6000,0,2,1.90879641e+25,3.047e+25,1.596293866,band_1e+17_1e+19,,,3.773834442,,0,geom_mean_Fnu_4pi_in_highfreq_band
SANE,CRITBETA,-0.5,4000,0,3,5.29218396e+28,1.75816045e+29,3.322183173,86GHz,8.6e+10,7.842822061e+10,2.518153581,0.9992690182,1,Fnu_4pi_from_nuLnu_dOmega
SANE,CRITBETA,-0.5,4000,0,3,5.29218396e+28,1.75816045e+29,3.322183173,230GHz,2.3e+11,2.381685552e+11,2.620604438,0.9997709535,1,Fnu_4pi_from_nuLnu_dOmega
SANE,CRITBETA,-0.5,4000,0,3,5.29218396e+28,1.75816045e+29,3.322183173,345GHz,3.45e+11,3.44896226e+11,2.556130342,0.9994759388,1,Fnu_4pi_from_nuLnu_dOmega
SANE,CRITBETA,-0.5,4000,0,3,5.29218396e+28,1.75816045e+29,3.322183173,band_1e+17_1e+19,,,4.288479764,0.987687393,1,geom_mean_Fnu_4pi_in_highfreq_band
SANE,CRITBETA,-0.5,5000,0,2,6.575e+28,1.12557353e+29,1.711898905,86GHz,8.6e+10,7.842822061e+10,2.402104748,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,CRITBETA,-0.5,5000,0,2,6.575e+28,1.12557353e+29,1.711898905,230GHz,2.3e+11,2.381685552e+11,2.430944955,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,CRITBETA,-0.5,5000,0,2,6.575e+28,1.12557353e+29,1.711898905,345GHz,3.45e+11,3.44896226e+11,2.566142441,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,CRITBETA,-0.5,5000,0,2,6.575e+28,1.12557353e+29,1.711898905,band_1e+17_1e+19,,,3.238822896,,0,geom_mean_Fnu_4pi_in_highfreq_band
SANE,CRITBETA,0.94,4000,0,2,1.05641123e+27,3.513e+27,3.325409557,86GHz,8.6e+10,7.842822061e+10,1.834912248,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,CRITBETA,0.94,4000,0,2,1.05641123e+27,3.513e+27,3.325409557,230GHz,2.3e+11,2.381685552e+11,2.287605858,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,CRITBETA,0.94,4000,0,2,1.05641123e+27,3.513e+27,3.325409557,345GHz,3.45e+11,3.44896226e+11,2.456961637,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,CRITBETA,0.94,4000,0,2,1.05641123e+27,3.513e+27,3.325409557,band_1e+17_1e+19,,,4.101967077,,0,geom_mean_Fnu_4pi_in_highfreq_band
SANE,RBETA,-0.5,4000,0,4,1.0124e+29,1.56322096e+29,1.544074437,86GHz,8.6e+10,7.842822061e+10,2.401259974,0.9967430252,1,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETA,-0.5,4000,0,4,1.0124e+29,1.56322096e+29,1.544074437,230GHz,2.3e+11,2.381685552e+11,2.742842221,0.9853478111,1,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETA,-0.5,4000,0,4,1.0124e+29,1.56322096e+29,1.544074437,345GHz,3.45e+11,3.44896226e+11,2.944114689,0.9973803641,1,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETA,-0.5,4000,0,4,1.0124e+29,1.56322096e+29,1.544074437,band_1e+17_1e+19,,,1.877863896,0.1984437999,1,geom_mean_Fnu_4pi_in_highfreq_band
SANE,RBETA,0.94,4000,0,3,2.17528554e+27,2.8176e+27,1.295278228,86GHz,8.6e+10,7.842822061e+10,1.908696986,0.9822813353,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETA,0.94,4000,0,3,2.17528554e+27,2.8176e+27,1.295278228,230GHz,2.3e+11,2.381685552e+11,2.552749056,0.9908185927,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETA,0.94,4000,0,3,2.17528554e+27,2.8176e+27,1.295278228,345GHz,3.45e+11,3.44896226e+11,2.416704985,0.9970925743,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETA,0.94,4000,0,3,2.17528554e+27,2.8176e+27,1.295278228,band_1e+17_1e+19,,,4.904117603,0.5784198283,0,geom_mean_Fnu_4pi_in_highfreq_band
SANE,RBETA,0.94,5000,0,2,2.88638872e+27,3.33e+27,1.153690761,86GHz,8.6e+10,7.842822061e+10,2.123775252,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETA,0.94,5000,0,2,2.88638872e+27,3.33e+27,1.153690761,230GHz,2.3e+11,2.381685552e+11,2.59773649,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETA,0.94,5000,0,2,2.88638872e+27,3.33e+27,1.153690761,345GHz,3.45e+11,3.44896226e+11,1.998107468,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETA,0.94,5000,0,2,2.88638872e+27,3.33e+27,1.153690761,band_1e+17_1e+19,,,7.351552212,,0,geom_mean_Fnu_4pi_in_highfreq_band
SANE,RBETAWJET,-0.5,4000,0,2,1.83918215e+28,1.92013364e+28,1.044014939,86GHz,8.6e+10,7.842822061e+10,1.73481919,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETAWJET,-0.5,4000,0,2,1.83918215e+28,1.92013364e+28,1.044014939,230GHz,2.3e+11,2.381685552e+11,1.944129261,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETAWJET,-0.5,4000,0,2,1.83918215e+28,1.92013364e+28,1.044014939,345GHz,3.45e+11,3.44896226e+11,1.817336181,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETAWJET,-0.5,4000,0,2,1.83918215e+28,1.92013364e+28,1.044014939,band_1e+17_1e+19,,,2.712910313,,0,geom_mean_Fnu_4pi_in_highfreq_band
SANE,RBETAWJET,0.94,4000,0,2,6.37415392e+26,2.8176e+27,4.420351368,86GHz,8.6e+10,7.842822061e+10,1.88017975,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETAWJET,0.94,4000,0,2,6.37415392e+26,2.8176e+27,4.420351368,230GHz,2.3e+11,2.381685552e+11,1.606435113,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETAWJET,0.94,4000,0,2,6.37415392e+26,2.8176e+27,4.420351368,345GHz,3.45e+11,3.44896226e+11,1.5880601,,0,Fnu_4pi_from_nuLnu_dOmega
SANE,RBETAWJET,0.94,4000,0,2,6.37415392e+26,2.8176e+27,4.420351368,band_1e+17_1e+19,,,2.912161778,,0,geom_mean_Fnu_4pi_in_highfreq_band
