finding singular munits for grmonty from 'ipole_positron_unlocked.py' equation using munits from fall 23 document,,,,,,,,,
"critbeta (f, b_c) = (0.5, 1.0); Rbeta (rlow, rhigh) = (1, 20)",,,,,,,,,
Timestep,MAD/SANE,Model,Spin,positron frac,MunitOffset,MunitSlope,Munit ,MunitUsed,M87 GRMONTY spectrum?
4000,MAD,RBETA,-0.5,0,1.30E+25,2.80E+00,7.49E+24,3.40E+25,yes
4000,MAD,RBETA,-0.5,1,1.30E+25,2.80E+00,7.49E+24,2.00E+25,yes 
4000,MAD,RBETAwJET,-0.5,0,8.00E+24,2.90E+00,7.49E+24,2.97E+25,yes
4000,MAD,RBETAwJET,-0.5,1,8.00E+24,2.90E+00,7.49E+24,1.52E+25,
4000,MAD,CRITBETA,-0.5,0,1.00E+25,2.50E+00,7.49E+24,2.87E+25,yes
4000,MAD,CRITBETA,-0.5,1,1.00E+25,2.50E+00,7.49E+24,1.62E+25,yes 
4000,MAD,CRITBETAwJET,-0.5,0,8.50E+24,2.10E+00,7.49E+24,2.42E+25,yes
4000,MAD,CRITBETAwJET,-0.5,1,8.50E+24,2.10E+00,7.49E+24,1.37E+25,
5000,MAD,RBETA,-0.5,0,1.30E+25,5.00E+00,7.49E+24,5.04E+25,yes
5000,MAD,RBETA,-0.5,1,1.30E+25,5.00E+00,7.49E+24,2.55E+25,
5000,MAD,RBETAwJET,-0.5,0,8.00E+24,4.50E+00,7.49E+24,4.17E+25,yes
5000,MAD,RBETAwJET,-0.5,1,8.00E+24,4.50E+00,7.49E+24,1.92E+25,
5000,MAD,CRITBETA,-0.5,0,1.50E+25,3.50E+00,7.49E+24,4.12E+25,yes
5000,MAD,CRITBETA,-0.5,1,1.50E+25,3.50E+00,7.49E+24,2.37E+25,
5000,MAD,CRITBETAwJET,-0.5,0,8.50E+24,4.00E+00,7.49E+24,3.84E+25,yes
5000,MAD,CRITBETAwJET,-0.5,1,8.50E+24,4.00E+00,7.49E+24,1.85E+25,
6000,MAD,RBETA,-0.5,0,2.40E+25,4.70E+00,7.49E+24,5.92E+25,yes
6000,MAD,RBETA,-0.5,1,2.40E+25,4.70E+00,7.49E+24,3.57E+25,
6000,MAD,RBETAwJET,-0.5,0,1.84E+25,4.34E+00,7.49E+24,5.09E+25,yes
6000,MAD,RBETAwJET,-0.5,1,1.84E+25,4.34E+00,7.49E+24,2.92E+25,
6000,MAD,CRITBETA,-0.5,0,1.40E+25,5.90E+00,7.49E+24,5.82E+25,yes
6000,MAD,CRITBETA,-0.5,1,1.40E+25,5.90E+00,7.49E+24,2.87E+25,
6000,MAD,CRITBETAwJET,-0.5,0,1.72E+25,3.92E+00,7.49E+24,4.66E+25,yes
6000,MAD,CRITBETAwJET,-0.5,1,1.72E+25,3.92E+00,7.49E+24,2.70E+25,
4000,SANE,RBETA,-0.5,0,5.00E+28,2.80E+01,1.83E+27,1.01E+29,yes (used e+28)
4000,SANE,RBETA,-0.5,1,5.00E+28,2.80E+01,1.83E+27,6.70E+28,
4000,SANE,RBETAwJET,-0.5,0,1.90E+28,3.00E+01,1.83E+27,7.38E+28,
4000,SANE,RBETAwJET,-0.5,1,1.90E+28,3.00E+01,1.83E+27,3.73E+28,
4000,SANE,CRITBETA,-0.5,0,2.90E+28,2.20E+01,1.83E+27,6.92E+28,yes (needed e+26)
4000,SANE,CRITBETA,-0.5,1,2.90E+28,2.20E+01,1.83E+27,4.24E+28,
4000,SANE,CRITBETAwJET,-0.5,0,1.70E+28,2.10E+01,1.83E+27,5.53E+28,
4000,SANE,CRITBETAwJET,-0.5,1,1.70E+28,2.10E+01,1.83E+27,2.98E+28,
5000,SANE,RBETA,-0.5,0,2.50E+28,2.50E+01,1.83E+27,7.06E+28,yes (used e+27)
5000,SANE,RBETA,-0.5,1,2.50E+28,2.50E+01,1.83E+27,4.02E+28,
5000,SANE,RBETAwJET,-0.5,0,8.00E+27,1.90E+01,1.83E+27,4.27E+28,
5000,SANE,RBETAwJET,-0.5,1,8.00E+27,1.90E+01,1.83E+27,1.96E+28,
5000,SANE,CRITBETA,-0.5,0,2.00E+28,2.50E+01,1.83E+27,6.56E+28,yes (used e+25)
5000,SANE,CRITBETA,-0.5,1,2.00E+28,2.50E+01,1.83E+27,3.52E+28,
5000,SANE,CRITBETAwJET,-0.5,0,7.50E+27,2.00E+01,1.83E+27,4.40E+28,
5000,SANE,CRITBETAwJET,-0.5,1,7.50E+27,2.00E+01,1.83E+27,1.97E+28,
6000,SANE,RBETA,-0.5,0,3.50E+28,3.50E+01,1.83E+27,9.89E+28,yes (used 2e+28)
6000,SANE,RBETA,-0.5,1,3.50E+28,3.50E+01,1.83E+27,5.63E+28,
6000,SANE,RBETAwJET,-0.5,0,1.80E+28,2.20E+01,1.83E+27,5.82E+28,
6000,SANE,RBETAwJET,-0.5,1,1.80E+28,2.20E+01,1.83E+27,3.14E+28,
6000,SANE,CRITBETA,-0.5,0,2.80E+28,2.50E+01,1.83E+27,7.36E+28,yes (used e+26)
6000,SANE,CRITBETA,-0.5,1,2.80E+28,2.50E+01,1.83E+27,4.32E+28,
6000,SANE,CRITBETAwJET,-0.5,0,1.50E+28,2.00E+01,1.83E+27,5.15E+28,
6000,SANE,CRITBETAwJET,-0.5,1,1.50E+28,2.00E+01,1.83E+27,2.72E+28,
4000,MAD,RBETA,(+)0.94,0,4.50E+24,1.20E+00,7.49E+24,1.35E+25,yes
4000,MAD,RBETA,(+)0.94,1,4.50E+25,1.20E+00,7.49E+24,4.80E+25,yes
4000,MAD,RBETAwJET,(+)0.94,0,2.50E+24,1.20E+00,7.49E+24,1.15E+25,yes
4000,MAD,RBETAwJET,(+)0.94,1,2.50E+24,1.20E+00,7.49E+24,5.49E+24,
4000,MAD,CRITBETA,(+)0.94,0,3.00E+24,1.20E+00,7.49E+24,1.20E+25,yes
4000,MAD,CRITBETA,(+)0.94,1,3.00E+24,1.20E+00,7.49E+24,5.99E+24,
4000,MAD,CRITBETAwJET,(+)0.94,0,2.20E+24,1.10E+00,7.49E+24,1.04E+25,yes
4000,MAD,CRITBETAwJET,(+)0.94,1,2.20E+24,1.10E+00,7.49E+24,4.95E+24,
5000,MAD,RBETA,(+)0.94,0,5.00E+24,1.90E+00,7.49E+24,1.92E+25,yes
5000,MAD,RBETA,(+)0.94,1,5.00E+24,1.90E+00,7.49E+24,9.74E+24,
5000,MAD,RBETAwJET,(+)0.94,0,5.00E+24,1.40E+00,7.49E+24,1.55E+25,yes
5000,MAD,RBETAwJET,(+)0.94,1,5.00E+24,1.40E+00,7.49E+24,8.49E+24,
5000,MAD,CRITBETA,(+)0.94,0,5.00E+24,1.50E+00,7.49E+24,1.62E+25,yes
5000,MAD,CRITBETA,(+)0.94,1,5.00E+24,1.50E+00,7.49E+24,8.74E+24,
5000,MAD,CRITBETAwJET,(+)0.94,0,3.50E+24,1.50E+00,7.49E+24,1.47E+25,yes
5000,MAD,CRITBETAwJET,(+)0.94,1,3.50E+24,1.50E+00,7.49E+24,7.24E+24,
6000,MAD,RBETA,(+)0.94,0,8.00E+24,3.00E+00,7.49E+24,3.05E+25,yes
6000,MAD,RBETA,(+)0.94,1,8.00E+24,3.00E+00,7.49E+24,1.55E+25,
6000,MAD,RBETAwJET,(+)0.94,0,6.00E+24,2.50E+00,7.49E+24,2.47E+25,yes 
6000,MAD,RBETAwJET,(+)0.94,1,6.00E+24,2.50E+00,7.49E+24,1.22E+25,
6000,MAD,CRITBETA,(+)0.94,0,9.40E+24,1.90E+00,7.49E+24,2.36E+25,yes
6000,MAD,CRITBETA,(+)0.94,1,9.40E+24,1.90E+00,7.49E+24,1.41E+25,
6000,MAD,CRITBETAwJET,(+)0.94,0,6.00E+24,2.00E+00,7.49E+24,2.10E+25,yes
6000,MAD,CRITBETAwJET,(+)0.94,1,6.00E+24,2.00E+00,7.49E+24,1.10E+25,
4000,SANE,RBETA,(+)0.94,0,1.50E+27,7.20E-01,1.83E+27,2.81E+27,yes (used e+26)
4000,SANE,RBETA,(+)0.94,1,1.50E+27,7.20E-01,1.83E+27,1.94E+27,
4000,SANE,RBETAwJET,(+)0.94,0,1.50E+27,1.10E+00,1.83E+27,3.51E+27,
4000,SANE,RBETAwJET,(+)0.94,1,1.50E+27,1.10E+00,1.83E+27,2.17E+27,
4000,SANE,CRITBETA,(+)0.94,0,1.00E+27,6.50E-01,1.83E+27,2.19E+27,yes (used e+25)
4000,SANE,CRITBETA,(+)0.94,1,1.00E+27,6.50E-01,1.83E+27,1.40E+27,
4000,SANE,CRITBETAwJET,(+)0.94,0,1.20E+27,6.50E-01,1.83E+27,2.39E+27,
4000,SANE,CRITBETAwJET,(+)0.94,1,1.20E+27,6.50E-01,1.83E+27,1.60E+27,
5000,SANE,RBETA,(+)0.94,0,1.50E+27,1.00E+00,1.83E+27,3.33E+27,yes (used e+26)
5000,SANE,RBETA,(+)0.94,1,1.50E+27,1.00E+00,1.83E+27,2.11E+27,
5000,SANE,RBETAwJET,(+)0.94,0,1.70E+27,1.50E+00,1.83E+27,4.44E+27,
5000,SANE,RBETAwJET,(+)0.94,1,1.70E+27,1.50E+00,1.83E+27,2.61E+27,
5000,SANE,CRITBETA,(+)0.94,0,1.00E+27,7.00E-01,1.83E+27,2.28E+27,yes (used e+25)
5000,SANE,CRITBETA,(+)0.94,1,1.00E+27,7.00E-01,1.83E+27,1.43E+27,
5000,SANE,CRITBETAwJET,(+)0.94,0,1.20E+27,8.00E-01,1.83E+27,2.66E+27,
5000,SANE,CRITBETAwJET,(+)0.94,1,1.20E+27,8.00E-01,1.83E+27,1.69E+27,
6000,SANE,RBETA,(+)0.94,0,1.50E+27,1.50E+00,1.83E+27,4.24E+27,yes (used e+26)
6000,SANE,RBETA,(+)0.94,1,1.50E+27,1.50E+00,1.83E+27,2.41E+27,
6000,SANE,RBETAwJET,(+)0.94,0,2.00E+27,1.90E+00,1.83E+27,5.47E+27,
6000,SANE,RBETAwJET,(+)0.94,1,2.00E+27,1.90E+00,1.83E+27,3.16E+27,
6000,SANE,CRITBETA,(+)0.94,0,1.30E+27,8.50E-01,1.83E+27,2.85E+27,yes (used e+25)
6000,SANE,CRITBETA,(+)0.94,1,1.30E+27,8.50E-01,1.83E+27,1.82E+27,
6000,SANE,CRITBETAwJET,(+)0.94,0,1.20E+27,1.20E+00,1.83E+27,3.39E+27,
6000,SANE,CRITBETAwJET,(+)0.94,1,1.20E+27,1.20E+00,1.83E+27,1.93E+27,
,,,,,,,,,
,Positron Munit Equation: MunitUsed = MunitOffset + MunitSlope+Munit / (1 + 2*positronRatio),,,,,,,,,