filepath,filename,run_id,state_letter,state,spin,spin_source,dump_time,pos,heating_model,wjet_flag,wjet_label,trial_tag,m_unit,mbh,tp_over_te,bias,rmax,rhigh,beta_crit,param_keys_count,header_keys_count,top_level_keys,parsed_params,pass_sanity
/work/vmo703/igrmonty_outputs/m87/spectrum_Ma+0.94_4000_RBETA_pos0.h5,spectrum_Ma+0.94_4000_RBETA_pos0.h5,Ma+0.94_4000_RBETA_pos0,M,MAD,0.94,filename,4000,0,RBETA,OFF,none,,1.02530968e+25,1.29285e+43,3.0,0.05,41.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.05, ""dump_time"": 4000, ""heating_model"": ""RBETA"", ""m_unit"": 1.02530968e+25, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 41.0, ""spin"": 0.94, ""state"": ""MAD"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Ma+0.94_5000_RBETA_pos0.h5,spectrum_Ma+0.94_5000_RBETA_pos0.h5,Ma+0.94_5000_RBETA_pos0,M,MAD,0.94,filename,5000,0,RBETA,OFF,none,,1.42658364e+25,1.29285e+43,3.0,0.05,41.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.05, ""dump_time"": 5000, ""heating_model"": ""RBETA"", ""m_unit"": 1.42658364e+25, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 41.0, ""spin"": 0.94, ""state"": ""MAD"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Ma+0.94_6000_RBETA_pos0.h5,spectrum_Ma+0.94_6000_RBETA_pos0.h5,Ma+0.94_6000_RBETA_pos0,M,MAD,0.94,filename,6000,0,RBETA,OFF,none,,1.90879641e+25,1.29285e+43,3.0,0.05,41.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.05, ""dump_time"": 6000, ""heating_model"": ""RBETA"", ""m_unit"": 1.90879641e+25, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 41.0, ""spin"": 0.94, ""state"": ""MAD"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_4000_CRITBETA_pos0.h5,spectrum_Ma-0.5_4000_CRITBETA_pos0.h5,Ma-0.5_4000_CRITBETA_pos0,M,MAD,-0.5,filename,4000,0,CRITBETA,OFF,none,,1.75838637e+25,1.29285e+43,3.0,0.05,41.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.05, ""dump_time"": 4000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.75838637e+25, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 41.0, ""spin"": -0.5, ""state"": ""MAD"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_5000_CRITBETA_pos0.h5,spectrum_Ma-0.5_5000_CRITBETA_pos0.h5,Ma-0.5_5000_CRITBETA_pos0,M,MAD,-0.5,filename,5000,0,CRITBETA,OFF,none,,2.0986032e+25,1.29285e+43,3.0,0.05,41.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.05, ""dump_time"": 5000, ""heating_model"": ""CRITBETA"", ""m_unit"": 2.0986032e+25, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 41.0, ""spin"": -0.5, ""state"": ""MAD"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_5000_RBETA_pos0.h5,spectrum_Ma-0.5_5000_RBETA_pos0.h5,Ma-0.5_5000_RBETA_pos0,M,MAD,-0.5,filename,5000,0,RBETA,OFF,none,,5.39327435e+25,1.29285e+43,3.0,0.11250000000000002,41.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.11250000000000002, ""dump_time"": 5000, ""heating_model"": ""RBETA"", ""m_unit"": 5.39327435e+25, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 41.0, ""spin"": -0.5, ""state"": ""MAD"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_6000_CRITBETA_pos0.h5,spectrum_Ma-0.5_6000_CRITBETA_pos0.h5,Ma-0.5_6000_CRITBETA_pos0,M,MAD,-0.5,filename,6000,0,CRITBETA,OFF,none,,3.00847304e+25,1.29285e+43,3.0,0.05,41.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.05, ""dump_time"": 6000, ""heating_model"": ""CRITBETA"", ""m_unit"": 3.00847304e+25, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 41.0, ""spin"": -0.5, ""state"": ""MAD"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_6000_RBETA_pos0.h5,spectrum_Ma-0.5_6000_RBETA_pos0.h5,Ma-0.5_6000_RBETA_pos0,M,MAD,-0.5,filename,6000,0,RBETA,OFF,none,,7.15282832e+25,1.29285e+43,3.0,0.11250000000000002,41.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.11250000000000002, ""dump_time"": 6000, ""heating_model"": ""RBETA"", ""m_unit"": 7.15282832e+25, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 41.0, ""spin"": -0.5, ""state"": ""MAD"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_CRITBETA_pos0.h5,spectrum_Sa+0.94_4000_CRITBETA_pos0.h5,Sa+0.94_4000_CRITBETA_pos0,S,SANE,0.94,filename,4000,0,CRITBETA,OFF,none,,1.05641123e+27,1.29285e+43,3.0,1.0125000000000002,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 1.0125000000000002, ""dump_time"": 4000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.05641123e+27, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_CRITBETAwJET_pos0.h5,spectrum_Sa+0.94_4000_CRITBETAwJET_pos0.h5,Sa+0.94_4000_CRITBETAwJET_pos0,S,SANE,0.94,filename,4000,0,CRITBETA,ON,wJET,,5.83581413e+26,1.29285e+43,3.0,0.16875,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.16875, ""dump_time"": 4000, ""heating_model"": ""CRITBETA"", ""m_unit"": 5.83581413e+26, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_RBETA_pos0.h5,spectrum_Sa+0.94_4000_RBETA_pos0.h5,Sa+0.94_4000_RBETA_pos0,S,SANE,0.94,filename,4000,0,RBETA,OFF,none,,2.26975117e+27,1.29285e+43,3.0,0.5062500000000001,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.5062500000000001, ""dump_time"": 4000, ""heating_model"": ""RBETA"", ""m_unit"": 2.26975117e+27, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_RBETAwJET_pos0.h5,spectrum_Sa+0.94_4000_RBETAwJET_pos0.h5,Sa+0.94_4000_RBETAwJET_pos0,S,SANE,0.94,filename,4000,0,RBETA,ON,wJET,,6.37415392e+26,1.29285e+43,3.0,0.11250000000000002,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.11250000000000002, ""dump_time"": 4000, ""heating_model"": ""RBETA"", ""m_unit"": 6.37415392e+26, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_CRITBETA_pos0.h5,spectrum_Sa+0.94_5000_CRITBETA_pos0.h5,Sa+0.94_5000_CRITBETA_pos0,S,SANE,0.94,filename,5000,0,CRITBETA,OFF,none,,1.51565083e+27,1.29285e+43,3.0,1.0125000000000002,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 1.0125000000000002, ""dump_time"": 5000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.51565083e+27, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_CRITBETAwJET_pos0.h5,spectrum_Sa+0.94_5000_CRITBETAwJET_pos0.h5,Sa+0.94_5000_CRITBETAwJET_pos0,S,SANE,0.94,filename,5000,0,CRITBETA,ON,wJET,,4.54634386e+26,1.29285e+43,3.0,0.05,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.05, ""dump_time"": 5000, ""heating_model"": ""CRITBETA"", ""m_unit"": 4.54634386e+26, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_RBETA_pos0.h5,spectrum_Sa+0.94_5000_RBETA_pos0.h5,Sa+0.94_5000_RBETA_pos0,S,SANE,0.94,filename,5000,0,RBETA,OFF,none,,2.88638872e+27,1.29285e+43,3.0,0.675,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.675, ""dump_time"": 5000, ""heating_model"": ""RBETA"", ""m_unit"": 2.88638872e+27, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_RBETAwJET_pos0.h5,spectrum_Sa+0.94_5000_RBETAwJET_pos0.h5,Sa+0.94_5000_RBETAwJET_pos0,S,SANE,0.94,filename,5000,0,RBETA,ON,wJET,,4.62424832e+26,1.29285e+43,3.0,0.05,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.05, ""dump_time"": 5000, ""heating_model"": ""RBETA"", ""m_unit"": 4.62424832e+26, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": 0.94, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_CRITBETA_pos0.h5,spectrum_Sa-0.5_4000_CRITBETA_pos0.h5,Sa-0.5_4000_CRITBETA_pos0,S,SANE,-0.5,filename,4000,0,CRITBETA,OFF,none,,1.34487657e+29,1.29285e+43,3.0,18.0764616286748,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 18.0764616286748, ""dump_time"": 4000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.34487657e+29, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_CRITBETAwJET_pos0.h5,spectrum_Sa-0.5_4000_CRITBETAwJET_pos0.h5,Sa-0.5_4000_CRITBETAwJET_pos0,S,SANE,-0.5,filename,4000,0,CRITBETA,ON,wJET,,1.85492885e+28,1.29285e+43,3.0,0.7593750000000001,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.7593750000000001, ""dump_time"": 4000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.85492885e+28, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0.h5,spectrum_Sa-0.5_4000_RBETA_pos0.h5,Sa-0.5_4000_RBETA_pos0,S,SANE,-0.5,filename,4000,0,RBETA,OFF,none,,1.28842307e+29,1.29285e+43,3.0,9.856107611118773,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 9.856107611118773, ""dump_time"": 4000, ""heating_model"": ""RBETA"", ""m_unit"": 1.28842307e+29, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos0.h5,spectrum_Sa-0.5_4000_RBETAwJET_pos0.h5,Sa-0.5_4000_RBETAwJET_pos0,S,SANE,-0.5,filename,4000,0,RBETA,ON,wJET,,1.83918215e+28,1.29285e+43,3.0,1.0125000000000002,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 1.0125000000000002, ""dump_time"": 4000, ""heating_model"": ""RBETA"", ""m_unit"": 1.83918215e+28, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_CRITBETA_pos0.h5,spectrum_Sa-0.5_5000_CRITBETA_pos0.h5,Sa-0.5_5000_CRITBETA_pos0,S,SANE,-0.5,filename,5000,0,CRITBETA,OFF,none,,1.12557353e+29,1.29285e+43,3.0,16.219382388511555,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 16.219382388511555, ""dump_time"": 5000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.12557353e+29, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_CRITBETAwJET_pos0.h5,spectrum_Sa-0.5_5000_CRITBETAwJET_pos0.h5,Sa-0.5_5000_CRITBETAwJET_pos0,S,SANE,-0.5,filename,5000,0,CRITBETA,ON,wJET,,1.11873022e+28,1.29285e+43,3.0,0.25312500000000004,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.25312500000000004, ""dump_time"": 5000, ""heating_model"": ""CRITBETA"", ""m_unit"": 1.11873022e+28, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_RBETA_pos0.h5,spectrum_Sa-0.5_5000_RBETA_pos0.h5,Sa-0.5_5000_RBETA_pos0,S,SANE,-0.5,filename,5000,0,RBETA,OFF,none,,1.29050493e+29,1.29285e+43,3.0,13.27565670707063,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 13.27565670707063, ""dump_time"": 5000, ""heating_model"": ""RBETA"", ""m_unit"": 1.29050493e+29, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_RBETAwJET_pos0.h5,spectrum_Sa-0.5_5000_RBETAwJET_pos0.h5,Sa-0.5_5000_RBETAwJET_pos0,S,SANE,-0.5,filename,5000,0,RBETA,ON,wJET,,1.09470574e+28,1.29285e+43,3.0,0.25312500000000004,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 0.25312500000000004, ""dump_time"": 5000, ""heating_model"": ""RBETA"", ""m_unit"": 1.09470574e+28, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""ON""}",True
/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_6000_RBETA_pos0.h5,spectrum_Sa-0.5_6000_RBETA_pos0.h5,Sa-0.5_6000_RBETA_pos0,S,SANE,-0.5,filename,6000,0,RBETA,OFF,none,,1.64428896e+29,1.29285e+43,3.0,12.56380128794693,20.0,,,41,71,fluid_header|output|params,"{""beta_crit"": null, ""bias"": 12.56380128794693, ""dump_time"": 6000, ""heating_model"": ""RBETA"", ""m_unit"": 1.64428896e+29, ""mbh"": 1.29285e+43, ""rhigh"": null, ""rmax"": 20.0, ""spin"": -0.5, ""state"": ""SANE"", ""tp_over_te"": 3.0, ""trial_tag"": null, ""wjet_flag"": ""OFF""}",True
