pair_type,state,spin,dump_time,heating_model,wjet_flag,pos,file_ref,file_cmp,median_ratio_cmp_over_ref,p05_ratio,p95_ratio,max_abs_log10_ratio,wide_jump_frac,valid_bins,suspicious_pair,notes,plot_path
heating,MAD,-0.5000,5000,RBETA_vs_CRITBETA,OFF,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_5000_RBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_5000_CRITBETA_pos0.h5,0.8883317588210711,0.24815947986377046,2239201.527584618,8.741564638568487,0.2222222222222222,72,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_heating_state-MAD_a--0.5000_t-5000_wjet-OFF_pos-0.png
heating,MAD,-0.5000,6000,RBETA_vs_CRITBETA,OFF,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_6000_RBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_6000_CRITBETA_pos0.h5,0.9245941282323396,0.3219282763590894,3456204.05254698,8.256308033125864,0.2222222222222222,72,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_heating_state-MAD_a--0.5000_t-6000_wjet-OFF_pos-0.png
heating,SANE,+0.9400,4000,RBETA_vs_CRITBETA,OFF,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_RBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_CRITBETA_pos0.h5,1.2324015928680538,0.11100116268001844,25942.287071092465,6.071775690676828,0.18840579710144928,69,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_heating_state-SANE_a-+0.9400_t-4000_wjet-OFF_pos-0.png
heating,SANE,+0.9400,4000,RBETA_vs_CRITBETA,ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_RBETAwJET_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_CRITBETAwJET_pos0.h5,0.8801761101696444,0.37612610632165655,7.264299924236751,2.9171684776114093,0.03409090909090909,88,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_heating_state-SANE_a-+0.9400_t-4000_wjet-ON_pos-0.png
heating,SANE,+0.9400,5000,RBETA_vs_CRITBETA,OFF,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_RBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_CRITBETA_pos0.h5,1.2067814536080015,0.04883302564232172,35481.248586402784,6.051285363377176,0.26865671641791045,67,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_heating_state-SANE_a-+0.9400_t-5000_wjet-OFF_pos-0.png
heating,SANE,+0.9400,5000,RBETA_vs_CRITBETA,ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_RBETAwJET_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_CRITBETAwJET_pos0.h5,1.0288673089228533,0.8100845342005746,26.706012659537556,2.6102099785598147,0.022727272727272728,88,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_heating_state-SANE_a-+0.9400_t-5000_wjet-ON_pos-0.png
heating,SANE,-0.5000,4000,RBETA_vs_CRITBETA,OFF,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_CRITBETA_pos0.h5,3.269104052153386,0.07915514729848734,147.6391516060606,3.148289628250151,0.0625,64,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_heating_state-SANE_a--0.5000_t-4000_wjet-OFF_pos-0.png
heating,SANE,-0.5000,4000,RBETA_vs_CRITBETA,ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_CRITBETAwJET_pos0.h5,1.0570081476007434,0.4160833003231875,3.8669979804326706,2.73012719728458,0.011904761904761904,84,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_heating_state-SANE_a--0.5000_t-4000_wjet-ON_pos-0.png
heating,SANE,-0.5000,5000,RBETA_vs_CRITBETA,OFF,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_RBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_CRITBETA_pos0.h5,1.7148641316631248,0.021195835261844608,51.05709271597233,3.8144169514641875,0.045454545454545456,66,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_heating_state-SANE_a--0.5000_t-5000_wjet-OFF_pos-0.png
heating,SANE,-0.5000,5000,RBETA_vs_CRITBETA,ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_RBETAwJET_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_CRITBETAwJET_pos0.h5,1.1209511663657865,0.2722736293213006,2.467739349975938,2.2423800055202014,0.011764705882352941,85,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_heating_state-SANE_a--0.5000_t-5000_wjet-ON_pos-0.png
wjet,SANE,+0.9400,4000,CRITBETA,OFF_vs_ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_CRITBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_CRITBETAwJET_pos0.h5,3.226531941227814,0.31358906291792704,8579978.142622434,8.61345726443834,0.34210526315789475,76,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_wjet_state-SANE_a-+0.9400_t-4000_heat-CRITBETA_pos-0.png
wjet,SANE,+0.9400,4000,RBETA,OFF_vs_ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_RBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_RBETAwJET_pos0.h5,2.3386610651902178,0.16207742833238928,368831729.9953046,9.98203225245954,0.3088235294117647,68,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_wjet_state-SANE_a-+0.9400_t-4000_heat-RBETA_pos-0.png
wjet,SANE,+0.9400,5000,CRITBETA,OFF_vs_ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_CRITBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_CRITBETAwJET_pos0.h5,6.014489874648463,0.16683566158444824,7292923.9257110795,9.17844092127511,0.32,75,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_wjet_state-SANE_a-+0.9400_t-5000_heat-CRITBETA_pos-0.png
wjet,SANE,+0.9400,5000,RBETA,OFF_vs_ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_RBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_RBETAwJET_pos0.h5,1.2514614652419762,0.09661505599183018,460394339.1357362,10.922528668823999,0.26865671641791045,67,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_wjet_state-SANE_a-+0.9400_t-5000_heat-RBETA_pos-0.png
wjet,SANE,-0.5000,4000,CRITBETA,OFF_vs_ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_CRITBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_CRITBETAwJET_pos0.h5,2.334028350451102,0.03767836243288222,12257512.731998913,10.423168527045195,0.25757575757575757,66,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_wjet_state-SANE_a--0.5000_t-4000_heat-CRITBETA_pos-0.png
wjet,SANE,-0.5000,4000,RBETA,OFF_vs_ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos0.h5,1.2736316949664435,0.06447981510784348,212213120.6880002,10.686871124391464,0.28125,64,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_wjet_state-SANE_a--0.5000_t-4000_heat-RBETA_pos-0.png
wjet,SANE,-0.5000,5000,CRITBETA,OFF_vs_ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_CRITBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_CRITBETAwJET_pos0.h5,2.4321511535343516,0.02271368773512245,41162170.93478021,9.659385163545409,0.3235294117647059,68,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_wjet_state-SANE_a--0.5000_t-5000_heat-CRITBETA_pos-0.png
wjet,SANE,-0.5000,5000,RBETA,OFF_vs_ON,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_RBETA_pos0.h5,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_5000_RBETAwJET_pos0.h5,1.7149849740924001,0.029373380226580377,169066275.04998428,10.719249813371327,0.2727272727272727,66,False,,/work/vmo703/igrmonty_outputs/m87/_qa/plots/pairs/pair_wjet_state-SANE_a--0.5000_t-5000_heat-RBETA_pos-0.png
