filename,path,top_level_items,camera_nx,camera_ny,camera_fovx_dsource,camera_fovy_dsource,resolution_candidates,pol_shape,unpol_shape,tau_shape,detected_nx,detected_ny,resolution_source,image_like_datasets
Ma+0.94_4000_CRITBETAWJET_f0.5_bc0.01_0.00.h5,/work/vmo703/ipole_outputs/Ma+0.94_4000_CRITBETAWJET_f0.5_bc0.01_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Ma+0.94_4000_CRITBETAWJET_f0.5_bc0.1_0.00.h5,/work/vmo703/ipole_outputs/Ma+0.94_4000_CRITBETAWJET_f0.5_bc0.1_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Ma+0.94_4000_CRITBETA_f0.5_bc0.01_0.00.h5,/work/vmo703/ipole_outputs/Ma+0.94_4000_CRITBETA_f0.5_bc0.01_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Ma+0.94_4000_CRITBETA_f0.5_bc0.1_0.00.h5,/work/vmo703/ipole_outputs/Ma+0.94_4000_CRITBETA_f0.5_bc0.1_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Ma-0.5_4000_CRITBETAWJET_f0.5_bc0.01_0.00.h5,/work/vmo703/ipole_outputs/Ma-0.5_4000_CRITBETAWJET_f0.5_bc0.01_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Ma-0.5_4000_CRITBETAWJET_f0.5_bc0.1_0.00.h5,/work/vmo703/ipole_outputs/Ma-0.5_4000_CRITBETAWJET_f0.5_bc0.1_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Ma-0.5_4000_CRITBETA_f0.5_bc0.01_0.00.h5,/work/vmo703/ipole_outputs/Ma-0.5_4000_CRITBETA_f0.5_bc0.01_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Ma-0.5_4000_CRITBETA_f0.5_bc0.1_0.00.h5,/work/vmo703/ipole_outputs/Ma-0.5_4000_CRITBETA_f0.5_bc0.1_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa+0.94_4000_CRITBETAWJET_f0.5_bc0.01_0.00.h5,/work/vmo703/ipole_outputs/Sa+0.94_4000_CRITBETAWJET_f0.5_bc0.01_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa+0.94_4000_CRITBETAWJET_f0.5_bc0.1_0.00.h5,/work/vmo703/ipole_outputs/Sa+0.94_4000_CRITBETAWJET_f0.5_bc0.1_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa+0.94_4000_CRITBETA_f0.5_bc0.01_0.00.h5,/work/vmo703/ipole_outputs/Sa+0.94_4000_CRITBETA_f0.5_bc0.01_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa+0.94_4000_CRITBETA_f0.5_bc0.1_0.00.h5,/work/vmo703/ipole_outputs/Sa+0.94_4000_CRITBETA_f0.5_bc0.1_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa+0.94_5000_CRITBETA_f0.5_bc0.01_0.00.h5,/work/vmo703/ipole_outputs/Sa+0.94_5000_CRITBETA_f0.5_bc0.01_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa+0.94_5000_CRITBETA_f0.5_bc0.1_0.00.h5,/work/vmo703/ipole_outputs/Sa+0.94_5000_CRITBETA_f0.5_bc0.1_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa-0.5_4000_CRITBETAWJET_f0.5_bc0.01_0.00.h5,/work/vmo703/ipole_outputs/Sa-0.5_4000_CRITBETAWJET_f0.5_bc0.01_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa-0.5_4000_CRITBETAWJET_f0.5_bc0.1_0.00.h5,/work/vmo703/ipole_outputs/Sa-0.5_4000_CRITBETAWJET_f0.5_bc0.1_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa-0.5_4000_CRITBETA_f0.5_bc0.01_0.00.h5,/work/vmo703/ipole_outputs/Sa-0.5_4000_CRITBETA_f0.5_bc0.01_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa-0.5_4000_CRITBETA_f0.5_bc0.1_0.00.h5,/work/vmo703/ipole_outputs/Sa-0.5_4000_CRITBETA_f0.5_bc0.1_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa-0.5_5000_CRITBETA_f0.5_bc0.01_0.00.h5,/work/vmo703/ipole_outputs/Sa-0.5_5000_CRITBETA_f0.5_bc0.01_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
Sa-0.5_5000_CRITBETA_f0.5_bc0.1_0.00.h5,/work/vmo703/ipole_outputs/Sa-0.5_5000_CRITBETA_f0.5_bc0.1_0.00.h5,"Ftot(dataset), Ftot_unpol(dataset), Ladv(dataset), Mdot(dataset), MdotEdd(dataset), fluid_header(group), header(group), nuLnu(dataset), nuLnu_unpol(dataset), pol(dataset), tau(dataset), unpol(dataset)",320,320,160.0,160.0,/fluid_header/nx1=288; /fluid_header/nx2=128; /fluid_header/nx3=128; /header/camera/nx=320; /header/camera/ny=320,"(320, 320, 5)","(320, 320)","(320, 320)",320,320,"/header/camera/nx, /header/camera/ny","/pol:(320, 320, 5); /tau:(320, 320); /unpol:(320, 320)"
